STATION,NAME,DATE,PRCP,PRCP_ATTRIBUTES
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-06,101.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-07,0,",T,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-08,19.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-09,8.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-10,61.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-11,25.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-12,29.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-01,36.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-02,54.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-03,43.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-04,42.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-05,93.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-06,18.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-07,6.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-08,215.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-09,144.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-10,199.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-11,46.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-12,144,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-01,20.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-02,36.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-03,56.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-04,78.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-05,241.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-06,69.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-07,16.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-08,145.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-09,68.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-10,36.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-11,81.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-12,12.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-01,1.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-02,15.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-03,15.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-04,48.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-05,46.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-06,113.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-07,3.8,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-08,224,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-09,102.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-10,19.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-11,104.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-12,55.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-01,27.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-02,100,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-03,40.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-04,142.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-05,180.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-06,227.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-07,54.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-08,59.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-09,37.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-10,137.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-11,73.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-12,108.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-01,68.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-02,83,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-03,77.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-04,19.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-05,18.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-06,39.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-07,22.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-08,35.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-09,171.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-10,314.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-11,102.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-12,39.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-01,5.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-02,0.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-03,104,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-04,20.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-05,179.7,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-06,85.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-07,112.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-08,17.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-09,7.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-10,42.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-11,3.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-12,29.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-01,72.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-02,44.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-03,29.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-04,61,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-05,82.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-06,133.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-07,47.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-08,3.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-09,44.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-10,153.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-11,201.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-12,73.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-01,69.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-02,35.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-03,139.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-04,12.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-05,83.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-06,21.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-07,8.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-08,240.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-09,43.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-10,62.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-11,254.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-12,117.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2002-01,43,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2002-02,16.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2002-03,31.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2002-04,19.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2002-05,31.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2002-06,143.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2002-07,125.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2002-08,59.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2002-09,82.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2002-10,169.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2002-11,77.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2002-12,115,",,,0"
