WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,QUALIFIER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,DEPTH_IN_METERS,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Barton Creek,09/01/2011 10:45:00 AM,Upper Barton Spring,Spring,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,30,Days,Total,,183,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635944614644, -97.7737817041223)",1821981,30.2635944614644,-97.7737817041223,362816,false,
Barton Creek,09/01/2011 10:30:00 AM,Eliza Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,30,Days,Total,,428,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2642461579302, -97.7700605859118)",1821983,30.2642461579302,-97.7700605859118,362820,false,
Barton Creek,09/01/2011 09:45:00 AM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,30,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",1821979,30.2635351223695,-97.7709796798271,362815,false,
Barton Creek,07/27/2011 11:00:00 AM,Barton Springs Pool @ Beach Edge,Stream,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,10,Days,Total,,4974,,VISUAL ASSESSMENT,U,Barton Springs Algae,"(30.2639999995656, -97.7700000003049)",1872304,30.2639999995656,-97.7700000003049,362629,false,
Barton Creek,07/27/2011 10:45:00 AM,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,10,Days,Total,,860,,VISUAL ASSESSMENT,U,Barton Springs Algae,"(30.2640070647195, -97.7693825634433)",1826960,30.2640070647195,-97.7693825634433,362857,false,
Barton Creek,07/27/2011 10:35:00 AM,Barton Springs Pool @ Shallow End,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,10,Days,Total,,2514,,VISUAL ASSESSMENT,U,Barton Springs Algae,"(30.263496776167, -97.7719212983408)",1828006,30.263496776167,-97.7719212983408,362626,false,
Barton Creek,07/27/2011 10:20:00 AM,Barton Springs Pool site BSP-9,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,10,Days,Total,,2819,,VISUAL ASSESSMENT,U,Barton Springs Algae,"(30.2637927863172, -97.7707696638517)",1822000,30.2637927863172,-97.7707696638517,362628,false,
Barton Creek,06/08/2011 06:00:00 PM,Barton Spring,Spring,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,3,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",1824261,30.2635351223695,-97.7709796798271,362255,false,
Barton Creek,05/18/2011 12:45:00 PM,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,6,Days,Total,,860,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2640070647195, -97.7693825634433)",1781635,30.2640070647195,-97.7693825634433,361090,false,
Barton Creek,05/18/2011 12:40:00 PM,Barton Springs Pool @ Beach Edge,Stream,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,6,Days,Total,,4974,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2639999995656, -97.7700000003049)",1780178,30.2639999995656,-97.7700000003049,361099,false,
